finished,age,gender,educ,employment,income,ideology_left,attention_check,democ1_squabble_pre,democ2_econ_bad_pre,democ3_no_order_pre,democ4_military_pre,democ5_better_pre,dem_estimate_pre,treat_share_high,dem_estimate_post,treat_turnout_high,democ1_squabble_post,democ2_econ_bad_post,democ3_no_order_post,democ4_military_post,democ5_better_post,behavioral,part_time_employ,full_time_employ,democ_post_all_missing,pre_democ_index,post_democ_index,male,zip_first_digit,non_white_share
1,46,Female,4,Part-time employed,26000,4,8,2,NA,2,NA,NA,58,0,51,0,NA,3,NA,2,3,0,1,0,0,4,8,0,4,0.2086530852610464
1,85,Female,2,Retired,35000,2,8,NA,3,NA,4,NA,75,1,50,0,4,NA,4,NA,4,1,0,0,0,7,12,0,3,0.21946165004950613
1,57,Female,4,Unemployed,50000,2,8,3,NA,NA,NA,4,80,1,81,1,NA,3,3,3,NA,0,0,0,0,7,9,0,1,0.3841256638300595
1,75,Female,3,Retired,51000,1,8,NA,NA,NA,4,4,60,1,50,0,3,1,1,NA,NA,0,0,0,0,8,5,0,4,0.090656954755568
1,77,Male,6,Retired,59000,2,8,NA,NA,NA,4,4,40,0,44,1,4,4,4,NA,NA,1,0,0,0,8,12,1,6,0.2425949653301176
1,70,Female,5,Retired,40000,2,6,2,NA,3,NA,NA,68,0,44,0,NA,3,NA,4,4,0,0,0,0,5,11,0,3,0.17214772642145482
1,77,Male,6,Retired,59000,2,8,NA,4,NA,4,NA,40,1,50,0,4,NA,4,NA,5,1,0,0,0,8,13,1,6,0.2425949653301176
1,65,Male,4,Retired,28000,2,8,2,NA,4,NA,NA,40,1,39,0,NA,5,NA,5,5,0,0,0,0,6,15,1,9,0.3496790819799669
1,84,Female,3,Permanently disabled,20000,4,8,NA,3,NA,NA,4,40,1,49,1,3,NA,3,4,NA,0,0,0,0,7,10,0,6,0.11466233297219208
1,65,Female,5,Retired,51000,1,8,3,3,NA,NA,NA,59,0,44,0,NA,NA,3,5,2,0,0,0,0,6,10,0,4,0.08381549995925353
1,79,Female,2,Retired,10000,3,8,NA,NA,4,NA,4,10,1,21,1,1,2,NA,3,NA,0,0,0,0,8,6,0,3,0.2929868835093622
1,90,Female,4,Retired,19000,2,8,NA,NA,NA,3,5,35,0,44,1,4,5,5,NA,NA,0,0,0,0,8,14,0,8,0.17029823493609253
1,74,Female,3,Retired,55000,4,8,2,NA,2,NA,NA,93,0,42,0,NA,2,NA,5,5,0,0,0,0,4,12,0,2,0.45139003125514066
1,59,Female,3,Retired,16000,1,8,NA,3,NA,4,NA,50,0,44,1,3,NA,3,NA,3,0,0,0,0,7,9,0,4,0.03010105353687375
1,81,Female,3,Retired,15000,1,8,NA,2,NA,2,NA,50,0,40,1,2,NA,3,NA,5,0,0,0,0,4,10,0,7,0.5284646348476136
1,65,Female,2,Homemaker,0,2,8,2,NA,NA,NA,3,79,0,57,1,NA,3,2,3,NA,NA,0,0,0,5,8,0,2,0.19638450148075023
1,67,Female,2,Full-time employed,54000,1,8,NA,NA,1,2,NA,95,1,88,0,2,3,NA,NA,3,0,0,1,0,3,8,0,1,0.4436344356816224
1,82,Female,3,Retired,18000,1,8,NA,2,NA,NA,3,50,1,50,1,3,NA,3,3,NA,1,0,0,0,5,9,0,7,0.11384838329861424
1,67,Female,2,Retired,24000,4,8,3,NA,NA,NA,3,42,0,42,1,NA,3,3,3,NA,0,0,0,0,6,9,0,6,0.08880622541474259
1,78,Female,3,Retired,31000,1,8,NA,5,NA,5,NA,44,1,50,1,3,NA,4,NA,4,0,0,0,0,10,11,0,4,0.23405188362500173
1,68,Female,5,Retired,65000,2,8,NA,NA,4,5,NA,50,1,50,1,3,4,NA,NA,4,0,0,0,0,9,11,0,4,0.26735922914784704
1,82,Female,2,Retired,24000,1,8,NA,4,NA,4,NA,90,1,50,0,4,NA,4,NA,4,0,0,0,0,8,12,0,7,0.5182736591888277
1,68,Female,2,Retired,12000,2,8,5,NA,NA,NA,5,59,1,52,0,NA,4,5,5,NA,0,0,0,0,10,14,0,6,0.0453247680228408
1,43,Female,2,Full-time employed,3077,7,8,NA,2,1,NA,NA,95,0,81,0,2,NA,NA,2,2,0,0,1,0,3,6,0,4,0.0349433710859427
1,43,Female,2,Full-time employed,3411,2,8,NA,NA,4,1,NA,79,1,91,0,5,2,NA,NA,2,1,0,1,0,5,9,0,4,0.0349433710859427
1,66,Female,3,Retired,38000,2,8,1,NA,NA,NA,5,30,1,34,0,NA,3,3,2,NA,1,0,0,0,6,8,0,3,0.2580773833266853
1,55,Female,2,Permanently disabled,24000,2,8,3,NA,NA,NA,4,62,0,55,0,NA,2,3,3,NA,0,0,0,0,7,8,0,7,0.21019560149994931
1,63,Female,5,Retired,35000,3,8,NA,4,2,NA,NA,60,0,45,0,2,NA,NA,5,3,0,0,0,0,6,10,0,4,0.1238298005573124
1,26,Female,2,Part-time employed,40000,4,8,3,3,NA,NA,NA,48,0,59,1,NA,NA,3,3,3,0,1,0,0,6,9,0,6,0.0125523012552301
1,62,Female,6,Retired,22000,2,8,NA,NA,NA,5,4,55,0,40,1,3,3,3,NA,NA,0,0,0,0,9,9,0,7,0.26617903686926814
1,53,Female,2,Full-time employed,67000,4,8,2,NA,2,NA,NA,53,1,69,0,NA,1,NA,2,2,0,0,1,0,4,5,0,7,0.2844717861688587
1,70,Female,5,Part-time employed,39000,1,8,NA,NA,NA,4,5,85,0,42,1,4,4,4,NA,NA,1,1,0,0,9,12,0,3,0.3330785400343971
1,38,Male,5,Full-time employed,5076,6,8,NA,4,NA,1,NA,82,0,79,0,4,NA,1,NA,5,0,0,1,0,5,10,1,2,0.3251664534750238
1,21,Female,2,Homemaker,47000,1,8,3,NA,NA,NA,2,70,0,40,1,NA,3,2,2,NA,0,0,0,0,5,7,0,6,0.1028138528138528
1,21,Female,2,Homemaker,47000,1,8,3,NA,3,NA,NA,40,1,50,0,NA,3,NA,2,2,0,0,0,0,6,7,0,6,0.1028138528138528
1,51,Female,2,Retired,34000,5,8,NA,NA,NA,2,1,55,1,54,0,3,1,1,NA,NA,0,0,0,0,3,5,0,0,0.1296308023557723
0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
0,55,Female,6,Permanently disabled,15000,2,8,NA,NA,NA,5,5,60,1,56,0,4,4,4,NA,NA,0,0,0,0,10,12,0,8,0.114646654654179
0,70,Female,1,Retired,25500,2,8,3,4,NA,NA,NA,61,0,25,0,NA,NA,4,5,3,0,0,0,0,7,12,0,4,0.15266930877724672
0,78,Female,3,Retired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,0,2,0.5166716731751277
